,Facility Name,Address/Phone Number,,Services ,Age minimum,"Amenities (Golf, Swimming)",Occupancy rate,Certificate,Pricing,
127,Carlton Shores Health and Rehabilitation Center,"1350 S Nova RD, Daytona Beach, FL 32114(386) 258-5544",,,,,,,,
,,,,,,,,,,
128,Chateau at Moorings Park,"130 Moorings Park Drive, Naples, FL 34105(239) 643-9133",,"phusician, nursing, rehab, long term care, memory care, assisted living",,"Computer Lab, Pottery Studio
Library
The Yacht Club - Soling 1-Meter Sailboats
Woodcrafting Shop and
Monthly Cocktail parties featuring live music and much more. . .
",,medicare,,
,,,,,,,,,,
129,Chatsworth at Pga National,"347 Hiatt Drive, Palm Beach Gardens, FL 33418(561) 227-3200",,"skilleed nursing, assisted living, rehab, medical care, memory care",,"various activities, salon",,medicare,,
,,,,,,,,,,
130,Chautauqua Rehabilitation and Nursing Center,"785 S 2Nd Street, Defuniak Springs, FL 32435(850) 892-2176",,"clinical services, rehab, outpatient services, ",,"sky diving, parasailing, antique car shows, worship services, weekly crafts, special outings, bingo, fishing",,Medicare and Medicaid,,
,,,,,,,,,,
131,Childrens Comprehensive Care Center Inc.,"200 SE 19Th Avenue, Pompano Beach, FL 33060(954) 943-7638",,"Nursing, Intravenous Therapy
Ventilator Weaning Program
Pediatrician
Occupational Therapy
Physical Therapy
Speech Therapy
Rehabilitative Services
Social Work
Recreational Therapy
Educational Services
Certified Nursing Assistant
Case Management
Pharmaceutical
Respiratory Therapy",,,,medicaid,,
,,,,,,,,,,
132,Citrus Health and Rehabilitation Center,"701 Medical Court East, Inverness, FL 34452(352) 860-0200",,health and rehab center,,,,Medicare and Medicaid,Daily Cost (Private Room) Daily Cost (Semi-Private Room),"185, $175"
,,,,,,,,,,
133,Clifford Chester Sims State Veterans Nursing Home,"4419 Tram Road, Panama City, FL 32404(850) 747-5401",,"Adult Congregate Living Facilities, Retirement & Life Care Cmnty/Homes Info,Residential Care Homes, Residential Care, Nursing Homes, Community Services,Public Departments-Municipal",,,,Medicare and Medicaid,Daily Cost (Semi-Private Room),$170
,,,,,,,,,,
134,Club Health and Rehabilitation Center at the Villa,"16529 SE 86Th Belle Meade Circle, The Villages, FL 32162(352) 385-8200",,,,,,Medicare and Medicaid,,
,,,,,,,,,,
135,Clyde E Lassen State Veterans Nursing Home,"4650 State RD 16, Saint Augustine, FL 32092(904) 940-2193",,dementia/Alzheimer’s disease,,,,Medicare and Medicaid,,
,,,,,,,,,,
136,Coastal Health and Rehabilitation Center,"820 N Clyde Morris Blvd, Daytona Beach, FL 32117(386) 274-4575",,Health and Rehabilitation Center,,,,Medicare and Medicaid,Daily Cost (Private Room),$190
,,,,,,,,,Daily Cost (Semi-Private Room),$180
137,Concordia Manor,"321 13Th Ave N, Saint Petersburg, FL 33701(727) 822-3030",,"Post-Acute Services, Skilled Nursing Services
Rehabilitation Programs
Restorative and Long-Term Care
Respite Care
Palliative Care
",,,,Medicare and Medicaid,,
,,,,,,,,,,
138,Consulate Health Care of West Palm Beach,"1626 Davis Road, West Palm Beach, FL 33406(561) 439-8897",,"lab, dental, dietary, mental heaslth, nursing, physician, pediatry, vocational, xray",,,,Medicare and Medicaid,Daily Cost (Private Room),$230
,,,,,,,,,Daily Cost (Semi-Private Room),$190
,,,,,,,,,,
139,Conway Lakes Health & Rehabilitation Center,"5201 Curry Ford Road, Orlando, FL 32812(407) 384-8838",,"rehab, orthopedic, cardiac, pulmonary, urinary, lymphedema, vestibular, pain reduction, wound care services, mist therapy",,relaxing courtyard,,Medicare and Medicaid,,
,,,,,,,,,,
,,,,,,,,,,
140,Coquina Center,"170 N Center Street, Ormond Beach, FL 32174(386) 672-7113",,"Long-Term Care, skilled nursing",,,,Medicare and Medicaid,Daily Cost (Private Room),$200
,,,,,,,,,Daily Cost (Semi-Private Room),$190
,,,,,,,,,,
141,Court at Palm Aire,"2701 N Course Drive, Pompano Beach, FL 33069(954) 975-8900",,"assisted living, independent living, outstation rehab, short term stay, rehab, skilled nursing",,"chef-prepared meals daily, weekly housekeeping and linen services, medical and home health offices on-site, local transportation and an active social life",,,,
,,,,,,,,,,
142,Crossbreeze Care Center,"1755 18Th ST, Sarasota, FL 34230(941) 955-4915",,"24 Hours Nursing Services, Vital Stim Provider
Stoke Recovery
Wound Care Management
Parenteral Nutrition
Rehabilitation Services
Joint Replacement Therapy
IV Medications
Pain Management
Home Assessments
Restraint Reduction
Fall Reduction Program
Balance & Safety Skills",,,,Medicare and Medicaid,,
,,,,,,,,,,
143,Cross Landings Health and Rehabilitation Center,"1780 N Jefferson ST, Monticello, FL 32344(850) 997-2313",,"24 Hours Nursing Services, Vital Stim Provider
Stoke Recovery
Wound Care Management
Parenteral Nutrition
Rehabilitation Services
Joint Replacement Therapy
IV Medications
Pain Management
Home Assessments
Restraint Reduction
Fall Reduction Program
Balance & Safety Skills",,,,Medicare and Medicaid,,
,,,,,,,,,,
144,Cross Pointe Care Center,"440 Phippen Waiters Road, Dania Beach, FL 33004(954) 927-0508",,"lab, dental, dietary, mental heaslth, nursing, physician, pediatry, vocational, xray",,,,Medicare and Medicaid,Daily Cost (Private Room),$215
,,,,,,,,,Daily Cost (Semi-Private Room),$200
145,Cypress Cove Care Center,"700 SE 8Th Ave, Crystal River, FL 34429(352) 795-8832",,"rehab, respite care, nursing care, subacute care, physical threapy, sppech therpay, occupational therapy",,various activities,,Medicare and Medicaid,,
,,,,,,,,,,
146,Deerfield Beach Health and Rehabilitation Center,"401 East Sample Road, Pompano Beach, FL 33064(954) 941-4100",,"Post-Acute Services, Skilled Nursing Services
Rehabilitation Programs
Restorative and Long-Term Care
Respite Care
Palliative Care
",,,,,,
,,,,,,,,,,
147,Douglas Jacobson State Veterans Nursing Home,"21281 Grayton Terrace, Port Charlotte, FL 33954(941) 613-0919",,"24 Hour Nursing Services, • I.V. Therapy
• Pain Management
• Oxygen Therapy
• Physical Therapy
• Occupational Therapy
Dietetic Programming & Nourishment Care",,"Group exercise, • Music activities
• Barbecues
• Birthday Parties
• Bingo
• Community outings in the facility vans
• Additional activities designed for the residents' enjoyment.",,Medicare and Medicaid,Daily Cost (Private Room),$190
,,,,,,,,,Daily Cost (Semi-Private Room),$190
148,Eden Springs Nursing and Rehabilitation Center,"4679 Crawfordville Hwy, Crawfordville, FL 32326(850) 926-7181",,"medical, rehab, nursing, dietary",,"Movie Night, a Ladie's Night and a Men's Night, Family Room and Garden of Life, ",,,,
,,,,,,,,,,
149,Edward White Skilled Nursing Unit,"2323 9Th Ave N,, Saint Petersburg, FL 33713(727) 328-6145",,"Rehabilitation Therapy to increase strength, endurance, range of motion, mobility and coordination, Daily activities to help residents develop personal and social independence
By referral: Dental, Podiatry and Optometry/Ophthalmology",,,,medicare,,
,,,,,,,,,,
150,Emerald Coast Center,"114 Third Street SE, Fort Walton Beach, FL 32548(850) 243-6134",,,,,,Medicare and Medicaid,Daily Cost (Semi-Private Room),$184
,,,,,,,,,,
151,Englewood Healthcare and Rehabilitation,"1111 Drury Lane, Englewood, FL 34224(941) 474-9371",,"lab, dental, dietary, mental heaslth, nursing, physician, pediatry, vocational, xray",,,85% occupancy rate,Medicare and Medicaid,,
,,,,,,,,,,
152,Fannie E Taylor Home for the Aged Inc.,"3937 Spring Park Road, Jacksonville, FL 32207(904) 737-6777",,"Quality Care, Resident Rights, Resident Assessment, Nutrition and Dietary,",,,Percent of Filled Beds: 79%,Medicare and Medicaid,Daily Cost (Private Room),$192
,,,,,,,,,Daily Cost (Semi-Private Room),$180
153,First Coast Health & Rehabilitation Center,"7723 Jasper Avenue, Jacksonville, FL 32211(904) 725-8044",,"Post-Acute Services, Skilled Nursing Services
Rehabilitation Programs
Restorative and Long-Term Care
Respite Care
Palliative Care",,,,Medicare and Medicaid,,
,,,,,,,,,,
154,Flagler Pines,"300 DR Carter Boulevard, Bunnell, FL 32110(386) 437-4168",,"Nursing Homes-Skilled Nursing Facility, Nursing & Convalescent Homes",,,,Medicare and Medicaid,,
,,,,,,,,,,
155,Fleet Landing,"One Fleet Landing Blvd, Atlantic Beach, FL 32233(904) 246-9900",,"independent living, assisted living, skilled nursing, memory support, clinical services",,"club, fitness classes",,medicare,,
,,,,,,,,,,
156,Glenridge on Palmer Ranch Inc.,"7333 Scotland Way, Sarasota, FL 34238(941) 552-3603",,retirement living,,"A spectacular 90-acre campus in beautiful Sarasota, Florida, featuring fully landscaped grounds, outdoor recreation pavilions, personal gardening areas, lakes and fountains, Single-family Club Homes and low-rise Residences, with floor plans up to 2,488 square feet – designed in the Addison Mizner tradition
24-hour controlled access and patrolling security
A spectacular 60,000-square-foot Village Commons
A magnificent Performing Arts Center
A state-of-the-art Fitness Center & Spa
Two well-maintained Har-Tru tennis courts
Multiple dining venues
A full array of stimulating programs for lifelong learning and personal growth
Membership opportunity with the prestigious Tournament Players Club at Prestancia (TPC), a 36-hole private golf club
Nearby beaches",,medicare,,
,,,,,,,,,,
157,Golfview Healthcare Center,"3636 10Th Ave N, Saint Petersburg, FL 33713(727) 323-3611",,"skilled nursing, rehab, physical threapy, occupational threpay, speech threapy",,"courtyard, gym, private suites",,medicare and medicaid,,
,,,,,,,,,,
158,Greenbriar Rehabilitation and Nursing Center,"210 21St Ave W, Bradenton, FL 34205(941) 747-3786",,"rehab, nutritional services, IV Therapy
Ostomy Care
Pain Management
Podiatry
Psychological
Respiratory Therapy
Wound Care",,"Beauty and Barber Salon, Therapy room
Equipment to meet therapeutic needs of each resident
Housekeeping, Laundry and Maintenance services daily
Internet
Common areas
Picnic area under beautiful live oak trees
Outdoor courtyard",,medicare and medicaid,,
,,,,,,,,,,
159,Guardian Care Nursing & Rehabilitation Center,"2500 W Church Street, Orlando, FL 32805(407) 295-5371",,"rehab, memory care, skilled nursing",,,,medicare and medicaid,,
,,,,,,,,,,
160,Hampton Court Nursing and Rehabilitation Center,"16100 NW 2Nd Avenue, North Miami Beach, FL 33169(305) 354-8800",,rehab,,"-Music, -Spinning and exercise programs, -Pursuit of individual interests through clubs

-Arts and crafts

-Pet therapy

-Weekly entertainment

-Movies

-Bingo

-Current events, lectures and discussions

-Outings to local restaurants and theaters

-Inter-generational programs

-Special programs for the memory impaired
",,medicare and medicaid,,
,,,,,,,,,,
161,Harborchase of Venice,"950 Pinebrook Road, Venice, FL 34285(941) 484-8801",,"assisted living, skilled nursing",,"activities like painting, wood craft, clubs, birthday celebrations, cultural events, ",,medicare and medicaid,,
,,,,,,,,,,
162,Harbours Edge,"401 E Linton Blvd, Delray Beach, FL 33483(561) 272-7979",,senior living,,,,medicare and medicaid,,
,,,,,,,,,,
163,Hardee Manor Healthcare Center,"401 Orange Place, Wauchula, FL 33873(863) 773-3231",,skilled nursing and shared accomadations,,,,medicare and medicaid,,
,,,,,,,,,,
164,Harmony Health Center,"9820 N Kendall Drive, Miami, FL 33176(305) 271-6311",,skilled nursing,,,,medicare and medicaid,Daily Cost (Semi-Private Room),$300
,,,,,,,,,,
165,Haven of Our Lady of Peace,"1900 Summit Boulevard, Pensacola, FL 32503(850) 436-5900",,"Nursing Services, • IV Therapy Services
• Wound Care
• Diabetes Education
• Hospice Care
• Medications & Treatment
Alzheimer’s Unit
• 15-bed unit
• Secured unit with code-lock doors
• Consistent Staffing
Short-Term Rehabilitation
• Physical Therapy
• Occupational Therapy
• Speech Therapy",,"dining area, courtyard",,medicare and medicaid,,
,,,,,,,,,,
166,Hawthorne Health and Rehabilitation of Brandon,"851 West Lumsden RD, Brandon, FL 33511(813) 661-8998",,"illness, trauma, -Personal Physician
-Licensed Nurses 24 hours a day
-Certified Nursing Assistants
-Highly Qualified Physical, Occupational, and Speech Therapists
-Specialty Diets by Registered Dietician
-Social Services",,"Spacious rooms with cathedral ceilings, -Private rooms with full bath available
-Cable TV
-Luscious landscaped courtyards
-Beauty Shop
-Beautiful furnishings for every room


",,,,
,,,,,,,,,,
167,Health Center of Coconut Creek,"4125 West Sample RD, Coconut Creek, FL 33073(954) 968-8333",,"Tender, loving, long-term care and rehabilitation",,"casino games, a garden club, sensory stimulation, a specialized dementia related program, programming based on mental/physical level of functioning & 1:1 visits.",,,,
,,,,,,,,,,
168,Health Center of Lake City,"560 SW Mcfarlane Ave, Lake City, FL 32055(386) 758-4777",,"phusical, occupational threpay, speech threpay, rehab",,,,medicare and medicaid,,
,,,,,,,,,,
169,Health Center of Merritt Island,"500 Crockett Blvd, Merritt Island, FL 32954(321) 454-4035",,"Post-acute Rehab, Outpatient Rehab, Auditory Care
Dental Care
Lab Services
Podiatric Care
Psychiatric Care
Vision Care
X-ray Services
Alzheimer's care
Long Term Care
24 hour nursing care
Subacute and skilled nursing
",,,,medicare and medicaid,,
,,,,,,,,,,
170,Health Center of Windermere,"4875 Cason Cove Drive, Orlando, FL 32811(407) 420-2090",,", rehab, physical, occupational, medocal, nutritional",,,,medicare and medicaid,,
,,,,,,,,,,
171,"Healthpark Care Center, Inc.","16131 Roserush Court, Fort Myers, FL 33908(239) 433-4647",,"Occupational therapy, Physical therapy
Speech therapy
Respiratory therapy
I.V. therapy
Restorative therapy

",,"Wide range of social events and activities, Van equipped for taking residents on local outings
Gourmet meals
Resident lounges
Library
Onsite beauty shop
Private garden",,medicare and medicaid,,
,,,,,,,,,,
172,Heartland Health Care Center Fort Myers,"1600 Matthew Drive, Fort Myers, FL 33907(239) 275-6067",,"skilled nursing, rehab, assisted living, independent living, occupational and speech threapy",,"Homemade meals supervised by a registered dietitian,  Elegantly appointed dining rooms
Room service
Snacks
Internet café (computers and coffee shop)
Wi-Fi
Special arrangements for private functions and parties
Inviting lounges and activity areas
Dedicated, caring staff
Activities, entertainment and excursions
Leisure time—geared more for those planning to return home
Happy hour
Personal laundry and linen service
Religious services
",,medicare and medicaid,,
,,,,,,,,,,
173,Hialeah Shores Nursing and Rehabilitation Center,"8785 NW 32Nd Avenue, Miami, FL 33147(305) 691-5711",,"skilled nursing, rehab",,,,medicare and medicaid,Daily Cost (Private Room),$250
,,,,,,,,,Daily Cost (Semi-Private Room),$250
174,Homestead Manor a Palace Community,"1330 NW 1St Ave, Homestead, FL 33030(305) 248-027",,"skilled nursing, assisted living, rehab, restorative nursing",,"Current events, Arts & Crafts
Pet Therapy
Movies
Live music & entertainment
Card games, dominoes, & bingo
Special outings, events
",,medicare and medicaid,,
,,,,,,,,,,
175,Indigo Manor,"595 N Williamson Blvd, Daytona Beach, FL 32114(386) 257-4400",,"rehab, Skilled Nursing Care

Wound Care Program

Infusion Therapy

Occupational Therapy

Speech-Language Therapy

Physical Therapy

Assisted Living Therapy

Long Term Care",,"library, courtyard, movie theater, salon",,medicare and medicaid,,
,,,,,,,,,,
176,Island Lake Center,"155 Landover Place, Longwood, FL 32750(407) 830-7744",,"skilled nursing, long term care",,,,medicare and medicaid,Daily Cost (Private Room),$200
,,,,,,,,,Daily Cost (Semi-Private Room),$185
177,Jackson Plaza Nursing & Rehabilitation Center,"1861 NW 8Th Avenue, Miami, FL 33136(305) 347-3380",,"skilled nursing, rehab, long term care, medical care",,"Entertainment, Social and recreational activities
Computer station
Television in all rooms
Dominos / Bingo / board games
Field trips
Pet therapy
Music therapy
Educational classes
Personal care services
Beauty care / barber shop / manicures
",,medicare and medicaid,,
,,,,,,,,,,
178,John Knox Village Health Center-Pompano Beach,"830 Lakeside Circle, Pompano Beach, FL 33060(954) 783-4001",,"assisted living, life care",,"Rose Garden, Billiards
Cards Rooms
Computer Club
Mens Workshop
Shuffleboard
Horseshoes
Putting Green
Heated Swimming Pool With Jacuzzi
Fitness Center With Supervised Exercise
Water Aerobics
Golf and Tennis are played at nearby public and private clubs
Spiritual Guidance Provided By Our full-Time Chaplain
Weekly Religious Services are conducted within the Village
Transportation to Many Area Churches
John Knox Professional Center is also located on campus – providing convenient medical attention as well as a pharmacy for medical supplies and medications",,medicare and medicaid,,
,,,,,,,,,,
179,Joseph L Morse Geriatric Center Inc.,"4847 Fred Gladstone Drive, West Palm Beach, FL 33417(561) 471-5111",,"long term care, rehab, independent and assisted living, care management, home care, adult day care, memory care",,,,medicare and medicaid,,
,,,,,,,,,,
180,Jupiter Medical Center Pavilion Inc.,"1230 South Old Dixie Hwy, Jupiter, FL 33458(561) 744-4444",,"medical services, cancer services, thorariac and lung care, surgical services, cardiovascular, health and wellness",,,,medicare and medicaid,,
,,,,,,,,,,
181,Lafayette Health Care Center,"512 W Main ST, Mayo, FL 32066(386) 294-3300",,"Nursing & Ancillary Services, 24-hour licensed nursing care, physical therpay, occupational threapy, rehab
Medicare, HMO & Private insurance accepted
Private and Semi-Private Rooms
Special Care and Treatment Programs
Physical, Occupational, and Speech Therapies
Discharge Planning and Social Service Assistance
Physician, Podiatrist, Vision, and Dental Services
Restorative Nursing Programs
Personalized Activity and Recreational Therapy Programs
Religious and Special Diets Available
Registered Dietician
Medication Management
Wound Care
Intravenous Therapy
Pharmacy Consulting
Hospice/Comfort Care
Respite Care
Laboratory Testing and X-rays
Audiology Services
Outpatient Services",,Beauty and Barber Services,,medicare and medicaid,,
,,,,,,Personal Laundry Services,,,,
,,,,,,,,,,
182,Lake Placid Health Care Center,"125 Tomoka Blvd S, Lake Placid, FL 33852(863) 465-7200",,"Nursing & Convalescent Homes, Homes-Institutional & Aged,Retirement Communities, Medical Clinics, Assisted Living Facilities",,,,medicare and medicaid,,
,,,,,,,,,,
183,Lakeside Nursing and Rehabilitation Center,"11411 Armsdale Road, Jacksonville, FL 32218(904) 714-3793",,"skilled nursing, rehab, A full service rehabilitation department with physical, occupational, and speech therapy
Outpatient therapy also available with a separate entrance",,"Beauty salon, Activities center
Tastefully furnished living room with large screen television
Beautifully landscaped courtyard and grounds
Health care 24 hours-a-day
Recliners in most rooms
Cable television access
Individual heat and air conditioning
Telephone
Fully electric hi-lo beds
Emergency call system in all rooms
Several hospitals within close proximity, including St. Vincent’s, Baptist and Shands",,medicare and medicaid,,
,,,,,,,,,,
184,Lakeview Terrace Skilled Nursing Facility,"110 Lodge Terrace DR, Altoona, FL 32702(352) 669-2133",,"rehabilitation, assisted living and long-term skilled nursing",,"Spacious garden homes & apartmentsTwo fishing lakes24-hour healthcare availableCommunity building Wi-fiMedicare-certified home health servicesPhysical, occupational & speech therapyDelicious dining in our restaurantLawn bowling / bocce courtsRecreational activities directorCable TV includedBeauty shopComprehensive libraryPets allowed, Gated community with security staffScenic lake & woodland locationWeekly housekeepingMaintenanceShuffleboard courtsHeated pool & spaLighted walking pathsIn-house TV channel (LVTV)Washer/dryer in all residencesOn-site bank & general storeAccommodations for guestsHelpful coordination of your movePractice Range & Senior Golf Course",,medicare and medicaid,,
,,,,,,,,,,
185,Lehigh Acres Health and Rehabilitation Center,"1550 Lee Blvd, Lehigh Acres, FL 33936(239) 369-2194",,"Rapid Recovery Rehab Unit - inpatient services, Outpatient rehabilitation services
Physical, occupational and speech therapy
Ortho, cardiac and stroke rehab programs
IV therapy, TPN and tracheotomy care
Wound care program
Pain management program
Fall prevention program
Restorative nursing program
",,"Registered dietitian services, Dental services and eye care
Recreational activities 7 days a week
Spa amenities available
Respite care
Multi-lingual staff
Hospice care
AlterG anti-gravity treadmill therapy
",,medicare and medicaid,Daily Cost (Private Room),$214
,,,,,,,,,Daily Cost (Semi-Private Room),$170
186,Life Care Center at Inverrary,"4300 Rock Island Road, Lauderhill, FL 33319(954) 485-6144",,"24 hr Onsite RN Coverage, Alzheimer's, Alzheimers Secured Unit, HIV Care, Hospice Care, JCAHO accredited Long Term Care Program, Pet Therapy, Tracheotomy, Weight Training",,,89.79%,medicare and medicaid,Daily Cost (Private Room),$255
,,,,,,,,,Daily Cost (Semi-Private Room),$225
,,,,,,,,,,
187,Life Care Center at Wells Crossing,"355 Crossing Blvd, Orange Park, FL 32073(904) 264-1950",,"Home Health Services, Rehabilitation Services, Assisted Living Facilities, Assisted Living & Elder Care Services",,,,medicare and medicaid,Daily Cost (Private Room),$208
,,,,,,,,,Daily Cost (Semi-Private Room),$180
,,,,,,,,,,
188,Life Care Center of Hilliard,"3756 W Third ST, Hilliard, FL 32046(904) 845-3988",,"Homes-Institutional & Aged, Nursing & Convalescent Homes,Assisted Living Facilities",,,,medicare and medicaid,,
,,,,,,,,,,
189,Life Care Center of Orange Park,"2145 Kingsley Ave, Orange Park, FL 32073(904) 272-2424",,"Rehabilitation Services, Nursing Homes-Skilled Nursing Facility,Nursing & Convalescent Homes, Physical Therapists",,,,medicare and medicaid,Daily Cost (Private Room),$210
,,,,,,,,,Daily Cost (Semi-Private Room),$159
,,,,,,,,,,
190,Life Care Center of Palm Bay,"175 Villa Nueva Ave, Palm Bay, FL 32907(321) 952-1818",,"rehabilitation therapy, Alzheimer’s care, skilled nursing, rehab",,"gourmet coffee service, ice cream parlor, gift shop and concierge nursing assistant services.",,medicare and medicaid,Daily Cost (Private Room),$317
,,,,,,,,,Daily Cost (Semi-Private Room),$281
,,,,,,,,,,
191,Life Care Center of Sarasota,"8104 N Tuttle Ave, Sarasota, FL 34243(941) 360-6411",,"quality nursing care and rehabilitation services, Daily Physician Monitoring / 24-Hour Respiratory Care
Comprehensive Wound Care
Ventilator Weaning and Respiratory Management Program
Post-Surgical Care / Pain Management
Radiology
Renal Dialysis / Cardiac Monitoring
Fully-staffed Inpatient Rehabilitation Tream - including Physicial, Occupational and Speech Therapies
Pharmacy / Laboratory / Nutritional Planning with Clinical Dietitian
Internal Case Management / Weekly Interdisciplinary Team Meetings
Social Services / Psychological Support",,,,medicare and medicaid,Daily Cost (Private Room),$245
,,,,,,,,,Daily Cost (Semi-Private Room),$217
,,,,,,,,,,
192,"Lifecare St. Johns, Inc.","230 Towerview Drive, Saint Augustine, FL 32092(904) 940-4801",,"long-term care, constant monitoring and 24-hour-a-day availability of doctors, nurses and health care aides, short term respite care",,,,medicare ,Daily Cost (Private Room),$237
,,,,,,,,,,
193,MacClenny Nursing and Rehabilitation Center,"755 S 5Th ST, Macclenny, FL 32063(904) 259-4873",,"lab, dental, dietary, mental heaslth, nursing, physician, pediatry, vocational, xray",,,95%,medicare and medicaid,Daily Cost (Private Room),$230
,,,,,,,,,Daily Cost (Semi-Private Room),$199
,,,,,,,,,,
194,Manor at Blue Water Bay,"1500 North White Point Road, Niceville, FL 32578(850) 897-5592",,"Physical, Occupational and Speech therapy, long term carte, rehab, respite care, skilled nursing",,"salon, garden",,medicare and medicaid,Daily Cost (Private Room),$190
,,,,,,,,,Daily Cost (Semi-Private Room),$180
,,,,,,,,,,
195,Manor at Carpenters,"1001 Carpenters Way, Lakeland, FL 33809(863) 858-3847",,long term care,,,85.69%,medicare and medicaid,Daily Cost (Private Room),$230
,,,,,,,,,Daily Cost (Semi-Private Room),$212
,,,,,,,,,,
196,Manorcare at Lely Palms,"6135 Rattlesnake Hammock Road, Naples, FL 34113(239) 775-7715",,"Orthopedic injuries and total joint replacement, Cardiac recovery
Stroke and neurological recovery
Chronic disease management
Wound care
Pulmonary issues
Oncology care

",,"Attractive and comfortable rooms, Homemade meals and snacks supervised by a registered dietitian
Elegantly appointed dining room
Special arrangements for private functions
Inviting lounges and activity areas
Planned activities, entertainment and excursions
Personal laundry and linen service",,medicare and medicaid,,
,,,,,,,,,,
,,,,,,,,,,
197,Manor Oaks Nursing & Rehabilitation Center,"2121 E Commercial Blvd, Fort Lauderdale, FL 33308(954) 771-8400",,"Rehabilitation Services, Assisted Living Facilities, Elderly Homes,Nursing & Convalescent Homes, Nursing Homes-Intermediate Care Facility, Nursing Homes-Skilled Nursing Facility, Assisted Living & Elder Care Services",,,,medicare and medicaid,Daily Cost (Private Room),$249
,,,,,,,,,Daily Cost (Semi-Private Room),$171
198,Margate Health Care Center,"5951 Colonial Drive, Margate, FL 33063(954) 979-6401",,long term care,,,89%,medicare and medicaid,Daily Cost (Private Room),$205
,,,,,,,,,Daily Cost (Semi-Private Room),$190
,,,,,,,,,,
199,Mease Continuing Care,"910 New York Ave, Dunedin, FL 34698(727) 733-2113",,"independent living, assisted living, short term care, skilled nursing",,"Wii™ Bowling League, Chair Yoga and Exercise Classes, Hard Rock Casino
Ruth Eckerd Hall
Florida Aquarium
State and local parks and museums
Crafts
Movies
Cards, Games and Bingo
Line Dancing
Wine Tasting
Socials
Putting Contests
Book Reviews and Lectures
St. Petersburg College Lifelong Learning Classes",,medicare and medicaid,,
,,,,,,,,,,
200,Melbourne Terrace Rehabilitation Center,"251 Florida Ave, Melbourne, FL 32901(321) 725-3990",,"Orthopedic Rehabilitation
Cardiac Recovery
Stroke Recovery
Aquatic Therapy
Pulmonary Therapy
Lymphedema Therapy
Vestibular Program
Urinary Incontinence Program
Balance Program
Pain Reduction/Management
Wound Care Services
Mist Therap",,"therapy equipment, two hydro therapy rehab pools and private exam rooms, cafe, courtyard",,medicare and medicaid,,
,,,,,,,,,,
201,Memorial Manor,"777 South Douglas Road, Pembroke Pines, FL 33025(954) 276-6200",,"skilled cursing, sub-acute care, long term care, adult day care, respiratory threapy,",,"food, gift shop, atm, pharmacy, ",,,,
,,,,,,,,,,
202,Miami Shores Nursing and Rehabilitation Center,"9380 NW 7Th Avenue, Miami, FL 33150(305) 759-8711",,"lab, dental, dietary, mental heaslth, nursing, physician, pediatry, vocational, xray",,,97%,medicare and medicaid,Daily Cost (Private Room),$165
,,,,,,,,,Daily Cost (Semi-Private Room),$165
203,Morton Plant Rehabilitation Center,"400 Corbett ST, Belleair, FL 33756(727) 462-7600",,"rehab, physical threapy, speech threapy, occupational threapy, cardiology, wound care",,,,medicare and medicaid,,
,,,,,,,,,,
,,,,,,,,,,
206,Nursing Center at LA Posada,"3600 Masterpiece Way, Palm Beach Gardens, FL 33410(561) 514-5000",,"Independent Living, Assisted Living, and a full continuum of care",,"Apartment homes and villas
 Flexible meal program
 Housekeeping
 Full activities calendar
 Wellness Programs",,medicare,,
,,,,,,,,,,
207,Nursing Pavilion at Chipola Retirement Center,"4294 3Rd Avenue, Marianna, FL 32446(850) 526-3191",,"lab, dental, dietary, mental heaslth, nursing, physician, pediatry, vocational, xray",,,95%,medicare and medicaid,Daily Cost (Private Room),$165
,,,,,,,,,Daily Cost (Semi-Private Room),$155
,,,,,,,,,,
208,Nuvista Living at Hillsborough Lakes,"19091 N Dale Mabry Hwy, Lutz, FL 33548(813) 751-0557",,"Nutrition Counseling, rehab
 Wound Management
 Patient/Family Education
 Social Services/Case Management
 Skilled Nursing Observation
 Physical Therapy
 Occupational Therapy
 Speech & Language Therapy
 Recreational Therapy
 Pain ManagementNutrition Counseling",,,78%,medicare and medicaid,,
,,,,,,,,,,
209,Oakbrook of Labelle,"250 Broward Ave, Labelle, FL 33935(863) 675-1440",,"NURSING & REHAB, HOSPICE, 
 24/7 days a week Skilled Nursing
 Team members ar Physical, occupational, Speech and Psychiatrist. Physician, Wound Care, Pain Management, Dietician, Social Worker, and complete Nursing Staff
 24 Hour visitors welcome, Individual and group activities
 Available is Opthamology, Dental and Specialized Dietary Services
 Come and enjoy a freshly prepared meal by our Chef",,"Housekeeping
 Social Outings
 Laundry Room
 Restaurant Style Dining
 Beauty/Barber Shop
 Resident Lounges",,medicare and medicaid,,
,,,,,,,,,,
,,,,,,,,,,
210,Oak Manor Healthcare & Rehabilitation Center,"3500 Oak Manor Lane, Largo, FL 34641(727) 581-9427",,"independent living, assisted living, rehab, skilled nursing",,"garden, pool, shopping complex",,medicare and medicaid,,
,,,,,,,,,,
,,,,,,,,,,
211,Oaks at Avon,"1010 Us 27 N, Avon Park, FL 33825(863) 453-5200",,"Post-Acute Services
 Skilled Nursing Services
 Rehabilitation Programs
 Restorative and Long-Term Care
 Respite Care
 Palliative Care",,,,medicare and medicaid,,
,,,,,,,,,,
